frequency for    : 0
frequency for  א : 0.00178192
frequency for  ב : 0.00703206
frequency for  ג : 0.0149845
frequency for  ד : 0.0043823
frequency for  ה : 0.00767506
frequency for  ו : 0.00396203
frequency for  ז : 0.00201306
frequency for  ח : 0.00357329
frequency for  ט : 0.0113608
frequency for  י : 8.40527e-06
frequency for  ך : 0.0096545
frequency for  כ : 0.00267498
frequency for  ל : 0.0051104
frequency for  ם : 0.0153291
frequency for  מ : 0.0120584
frequency for  ן : 0.0158492
frequency for  נ : 0.00419633
frequency for  ס : 0.0157809
frequency for  ע : 0.00749855
frequency for  ף : 0.00356488
frequency for  פ : 0.00107167
frequency for  ץ : 0.00107272
frequency for  צ : 0.000376136
frequency for  ק : 0.0056662
frequency for  ר : 0.000756474
frequency for  ש : 6.82928e-05
frequency for  û : 0
frequency for  ü : 0
frequency for  ‎ : 0.00264661
frequency for  ‏ : 2.10132e-05
frequency for  ÿ : 0.0011116
frequency for א  : 0.0160373
frequency for אא : 8.40527e-06
frequency for אב : 0.000598875
frequency for אג : 0.00318455
frequency for אד : 0.000775386
frequency for אה : 0.00186702
frequency for או : 0.00094139
frequency for אז : 0.0012692
frequency for אח : 0.00388323
frequency for אט : 9.45593e-05
frequency for אי : 0.000522177
frequency for אך : 0.00372038
frequency for אכ : 0.00880977
frequency for אל : 0.002717
frequency for אם : 0.00436759
frequency for אמ : 6.30395e-06
frequency for אן : 0.00105276
frequency for אנ : 0.00288826
frequency for אס : 0.00339153
frequency for אע : 0.00437494
frequency for אף : 0.000123978
frequency for אפ : 0.000484354
frequency for אץ : 0.00100443
frequency for אצ : 6.09382e-05
frequency for אק : 0.000783791
frequency for אר : 0.00110739
frequency for אש : 0.000250057
frequency for אû : 0
frequency for אü : 0
frequency for א‎ : 0
frequency for א‏ : 0.000685029
frequency for אÿ : 0.00215175
frequency for ב  : 0.000300488
frequency for בא : 0.00079745
frequency for בב : 5.25329e-06
frequency for בג : 9.87619e-05
frequency for בד : 1.15572e-05
frequency for בה : 2.31145e-05
frequency for בו : 0.00214965
frequency for בז : 8.40527e-06
frequency for בח : 0
frequency for בט : 0.000731258
frequency for בי : 0
frequency for בך : 0.000162852
frequency for בכ : 0.000743866
frequency for בל : 3.36211e-05
frequency for בם : 0.000293134
frequency for במ : 0.00203407
frequency for בן : 0
frequency for בנ : 0.00110634
frequency for בס : 7.35461e-05
frequency for בע : 5.25329e-06
frequency for בף : 0.000926681
frequency for בפ : 0
frequency for בץ : 7.87994e-05
frequency for בצ : 1.05066e-06
frequency for בק : 2.20638e-05
frequency for בר : 5.25329e-06
frequency for בש : 0.000160751
frequency for בû : 0.00398095
frequency for בü : 3.04691e-05
frequency for ב‎ : 0
frequency for ב‏ : 0
frequency for בÿ : 0.000447581
frequency for ג  : 0.00660129
frequency for גא : 0.00541614
frequency for גב : 1.36586e-05
frequency for גג : 3.78237e-05
frequency for גד : 4.83303e-05
frequency for גה : 0.00035092
frequency for גו : 0.00426252
frequency for גז : 1.05066e-06
frequency for גח : 0.000512721
frequency for גט : 0.00306267
frequency for גי : 1.05066e-06
frequency for גך : 0.000152345
frequency for גכ : 0.000966606
frequency for גל : 0.000134484
frequency for גם : 0.000935086
frequency for גמ : 0.00744917
frequency for גן : 0.000240601
frequency for גנ : 0.000675573
frequency for גס : 0.00306897
frequency for גע : 0.000201726
frequency for גף : 0.000835274
frequency for גפ : 0
frequency for גץ : 3.78237e-05
frequency for גצ : 1.57599e-05
frequency for גק : 4.09757e-05
frequency for גר : 0.00131648
frequency for גש : 2.10132e-06
frequency for גû : 0.00255835
frequency for גü : 0.000162852
frequency for ג‎ : 0
frequency for ג‏ : 1.05066e-06
frequency for גÿ : 0.000242702
frequency for ד  : 0.000816362
frequency for דא : 0.00097291
frequency for דב : 0
frequency for דג : 3.88744e-05
frequency for דד : 5.25329e-06
frequency for דה : 0.00113891
frequency for דו : 0.000529532
frequency for דז : 3.15198e-06
frequency for דח : 1.05066e-06
frequency for דט : 0.000679776
frequency for די : 0
frequency for דך : 7.77487e-05
frequency for דכ : 0.00135115
frequency for דל : 2.10132e-06
frequency for דם : 0.000257411
frequency for דמ : 0.00878035
frequency for דן : 0
frequency for דנ : 0.00107167
frequency for דס : 9.45593e-05
frequency for דע : 3.15198e-06
frequency for דף : 0.000577862
frequency for דפ : 0
frequency for דץ : 0
frequency for דצ : 3.15198e-06
frequency for דק : 1.57599e-05
frequency for דר : 3.15198e-06
frequency for דש : 0
frequency for דû : 0
frequency for דü : 0
frequency for ד‎ : 0
frequency for ד‏ : 0
frequency for דÿ : 0
frequency for ה  : 0.00118304
frequency for הא : 0.00440436
frequency for הב : 2.83678e-05
frequency for הג : 0.00102544
frequency for הד : 6.30395e-06
frequency for הה : 2.10132e-05
frequency for הו : 0.0044695
frequency for הז : 1.99625e-05
frequency for הח : 2.10132e-06
frequency for הט : 0.00250477
frequency for הי : 0
frequency for הך : 0.000192271
frequency for הכ : 0.000820564
frequency for הל : 9.77112e-05
frequency for הם : 0.00179242
frequency for המ : 0.00365734
frequency for הן : 0.00011242
frequency for הנ : 0.00155182
frequency for הס : 0.00039925
frequency for הע : 0.000182815
frequency for הף : 0.00159805
frequency for הפ : 9.45593e-06
frequency for הץ : 4.51783e-05
frequency for הצ : 9.66606e-05
frequency for הק : 3.57224e-05
frequency for הר : 0.000144991
frequency for הש : 0
frequency for הû : 0.000589419
frequency for הü : 0.000354072
frequency for ה‎ : 0
frequency for ה‏ : 0.000125028
frequency for הÿ : 0.00035092
frequency for ו  : 0.0168578
frequency for וא : 3.15198e-05
frequency for וב : 0.00104225
frequency for וג : 0.001514
frequency for וד : 0.00339468
frequency for וה : 0.00253524
frequency for וו : 0.00148668
frequency for וז : 0.00105066
frequency for וח : 0.00117043
frequency for וט : 0.000177561
frequency for וי : 0.00212653
frequency for וך : 0.00098972
frequency for וכ : 0.00608752
frequency for ול : 0.00369832
frequency for ום : 0.00766771
frequency for ומ : 0.000546342
frequency for ון : 0.000956099
